organization,switch,switch_serial,port_id,port_name,enabled,,,switch,Inactive Enabled Count,Platoon,,Platoon,Count To Disable,Proposed Date,,Platoon,switch
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,18,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,19,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,20,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,21,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,23,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,25,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,26,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,27,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,28,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,30,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,32,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,33,Data 130,True,,,,,,,,,,,,
